 written on 14Jun2024 at 03:01:05 
           2
        1451
    5    5    3    1    2   -0.000000   -0.000000
    5    5    3    2    2    0.000000   -0.000000
    5    5    4    1    1   -0.000000   -0.000000
    5    5    4    2    1    0.000000   -0.000000
    5    5    4    1    2   -0.000000   -0.000000
    5    5    4    2    2   -0.000000   -0.000000
    5    5    5    1    1    0.000000   -0.000000
    5    5    5    2    1   -0.000000    0.000000
    5    5    5    1    2   -0.000000   -0.000000
    5    5    5    2    2   -0.000000    0.000000
    5    6   -5    1    1   -0.000000    0.000000
    5    6   -5    2    1    0.000000   -0.000000
    5    6   -5    1    2    0.000000    0.000000
    5    6   -5    2    2    0.000000   -0.000000
    5    6   -4    1    1    0.000000    0.000000
    5    6   -4    2    1   -0.000000    0.000000
    5    6   -4    1    2   -0.000001   -0.000000
    5    6   -4    2    2    0.000000    0.000000
    5    6   -3    1    1    0.000000    0.000000
    5    6   -3    2    1   -0.000000    0.000000
    5    6   -3    1    2    0.000000    0.000000
    5    6   -3    2    2    0.000000   -0.000000
    5    6   -2    1    1    0.000000    0.000000
    5    6   -2    2    1    0.000000   -0.000000
    5    6   -2    1    2   -0.000000   -0.000000
    5    6   -2    2    2    0.000000   -0.000000
    5    6   -1    1    1   -0.000000    0.000000
    5    6   -1    2    1   -0.000000    0.000000
    5    6   -1    1    2   -0.000000   -0.000000
    5    6   -1    2    2   -0.000000    0.000000
    5    6    0    1    1    0.000001   -0.000000
    5    6    0    2    1    0.000000   -0.000000
    5    6    0    1    2   -0.000001   -0.000000
    5    6    0    2    2    0.000001   -0.000000
    5    6    1    1    1   -0.000000   -0.000000
    5    6    1    2    1    0.000000   -0.000000
    5    6    1    1    2    0.000001    0.000000
    5    6    1    2    2   -0.000000   -0.000000
    5    6    2    1    1    0.000000   -0.000000
    5    6    2    2    1   -0.000000    0.000000
    5    6    2    1    2    0.000000    0.000000
    5    6    2    2    2    0.000000    0.000000
    5    6    3    1    1    0.000000    0.000000
    5    6    3    2    1   -0.000000    0.000000
    5    6    3    1    2   -0.000000   -0.000000
    5    6    3    2    2   -0.000000    0.000000
    5    6    4    1    1   -0.000000   -0.000000
    5    6    4    2    1    0.000000   -0.000000
    5    6    4    1    2    0.000000    0.000000
    5    6    4    2    2   -0.000000    0.000000
    6   -4    5    1    1   -0.000000    0.000000
    6   -4    5    2    1    0.000000   -0.000000
    6   -4    5    1    2    0.000000    0.000000
    6   -4    5    2    2    0.000000    0.000000
    6   -3    4    1    1    0.000000   -0.000000
    6   -3    4    2    1   -0.000001    0.000000
    6   -3    4    1    2   -0.000000   -0.000000
    6   -3    4    2    2    0.000000   -0.000000
    6   -3    5    1    1   -0.000000   -0.000000
    6   -3    5    2    1    0.000000   -0.000000
    6   -3    5    1    2    0.000000    0.000000
    6   -3    5    2    2   -0.000000    0.000000
    6   -2    3    1    1    0.000000   -0.000000
    6   -2    3    2    1    0.000000   -0.000000
    6   -2    3    1    2   -0.000000   -0.000000
    6   -2    3    2    2    0.000000    0.000000
    6   -2    4    1    1    0.000000    0.000000
    6   -2    4    2    1   -0.000000    0.000000
    6   -2    4    1    2   -0.000000   -0.000000
    6   -2    4    2    2   -0.000000    0.000000
    6   -2    5    1    1   -0.000000   -0.000000
    6   -2    5    2    1    0.000000   -0.000000
    6   -2    5    1    2    0.000000    0.000000
    6   -2    5    2    2   -0.000000    0.000000
    6   -1    2    1    1    0.000000   -0.000000
    6   -1    2    2    1   -0.000000    0.000000
    6   -1    2    1    2    0.000000    0.000000
    6   -1    2    2    2    0.000000   -0.000000
    6   -1    3    1    1    0.000000    0.000000
    6   -1    3    2    1    0.000000   -0.000000
    6   -1    3    1    2    0.000000    0.000000
    6   -1    3    2    2    0.000000    0.000000
    6   -1    4    1    1    0.000000   -0.000000
    6   -1    4    2    1   -0.000000    0.000000
    6   -1    4    1    2    0.000000    0.000000
    6   -1    4    2    2   -0.000000   -0.000000
    6   -1    5    1    1   -0.000000   -0.000000
    6   -1    5    2    1    0.000000   -0.000000
    6   -1    5    1    2   -0.000000   -0.000000
    6   -1    5    2    2   -0.000000   -0.000000
    6    0    1    1    1   -0.000000    0.000000
    6    0    1    2    1   -0.000000    0.000000
    6    0    1    1    2   -0.000000   -0.000000
    6    0    1    2    2   -0.000000    0.000000
    6    0    2    1    1   -0.000000   -0.000000
    6    0    2    2    1    0.000000   -0.000000
    6    0    2    1    2    0.000000    0.000000
    6    0    2    2    2    0.000000   -0.000000
    6    0    3    1    1   -0.000000    0.000000
    6    0    3    2    1   -0.000000    0.000000
    6    0    3    1    2   -0.000000   -0.000000
    6    0    3    2    2    0.000000    0.000000
    6    0    4    1    1    0.000000    0.000000
    6    0    4    2    1   -0.000000    0.000000
    6    0    4    1    2    0.000000    0.000000
    6    0    4    2    2    0.000000   -0.000000
    6    0    5    1    1   -0.000000   -0.000000
    6    0    5    2    1   -0.000000    0.000000
    6    0    5    1    2   -0.000000   -0.000000
    6    0    5    2    2   -0.000000   -0.000000
    6    1    0    1    1    0.000001   -0.000000
    6    1    0    2    1   -0.000001    0.000000
    6    1    0    1    2    0.000000    0.000000
    6    1    0    2    2    0.000001   -0.000000
    6    1    1    1    1   -0.000000    0.000000
    6    1    1    2    1    0.000002   -0.000000
    6    1    1    1    2    0.000000    0.000000
    6    1    1    2    2   -0.000000   -0.000000
    6    1    2    1    1    0.000000    0.000000
    6    1    2    2    1    0.000000   -0.000000
    6    1    2    1    2    0.000000    0.000000
    6    1    2    2    2    0.000000   -0.000000
    6    1    3    1    1   -0.000000   -0.000000
    6    1    3    2    1    0.000000   -0.000000
    6    1    3    1    2    0.000000    0.000000
    6    1    3    2    2   -0.000000    0.000000
    6    1    4    1    1   -0.000000    0.000000
    6    1    4    2    1    0.000000   -0.000000
    6    1    4    1    2    0.000000    0.000000
    6    1    4    2    2   -0.000000    0.000000
    6    1    5    1    1   -0.000000    0.000000
    6    1    5    2    1   -0.000000    0.000000
    6    1    5    1    2   -0.000000   -0.000000
    6    1    5    2    2   -0.000000    0.000000
    6    2   -1    1    1   -0.000000   -0.000000
    6    2   -1    2    1    0.000001   -0.000000
    6    2   -1    1    2    0.000000    0.000000
    6    2   -1    2    2   -0.000000   -0.000000
    6    2    0    1    1   -0.000003    0.000000
    6    2    0    2    1    0.000001   -0.000000
    6    2    0    1    2    0.000001    0.000000
    6    2    0    2    2   -0.000002    0.000000
    6    2    1    1    1    0.000000   -0.000000
    6    2    1    2    1   -0.000000    0.000000
    6    2    1    1    2    0.000000    0.000000
    6    2    1    2    2    0.000000   -0.000000
    6    2    2    1    1   -0.000000   -0.000000
    6    2    2    2    1    0.000000   -0.000000
    6    2    2    1    2   -0.000000   -0.000000
    6    2    2    2    2   -0.000000   -0.000000
    6    2    3    1    1   -0.000000   -0.000000
    6    2    3    2    1    0.000000   -0.000000
    6    2    3    1    2    0.000000    0.000000
    6    2    3    2    2   -0.000000   -0.000000
    6    2    4    1    1    0.000000    0.000000
    6    2    4    2    1   -0.000000    0.000000
    6    2    4    1    2    0.000000    0.000000
    6    2    4    2    2    0.000000   -0.000000
    6    2    5    1    1   -0.000000    0.000000
    6    2    5    2    1    0.000000   -0.000000
    6    2    5    1    2   -0.000000   -0.000000
    6    2    5    2    2   -0.000000   -0.000000
    6    3   -2    1    1    0.000000    0.000000
    6    3   -2    2    1    0.000000   -0.000000
    6    3   -2    1    2   -0.000000   -0.000000
    6    3   -2    2    2    0.000000    0.000000
    6    3   -1    1    1    0.000000    0.000000
    6    3   -1    2    1   -0.000000    0.000000
    6    3   -1    1    2   -0.000000   -0.000000
    6    3   -1    2    2    0.000000    0.000000
    6    3    0    1    1    0.000003    0.000000
    6    3    0    2    1   -0.000000    0.000000
    6    3    0    1    2   -0.000001   -0.000000
    6    3    0    2    2    0.000003    0.000000
    6    3    1    1    1    0.000000    0.000000
    6    3    1    2    1   -0.000000    0.000000
    6    3    1    1    2    0.000000    0.000000
    6    3    1    2    2    0.000000    0.000000
    6    3    2    1    1    0.000000   -0.000000
    6    3    2    2    1    0.000000   -0.000000
    6    3    2    1    2    0.000000    0.000000
    6    3    2    2    2    0.000000    0.000000
    6    3    3    1    1   -0.000000   -0.000000
    6    3    3    2    1   -0.000000    0.000000
    6    3    3    1    2   -0.000000   -0.000000
    6    3    3    2    2    0.000000   -0.000000
    6    3    4    1    1   -0.000000    0.000000
    6    3    4    2    1   -0.000000    0.000000
    6    3    4    1    2    0.000000    0.000000
    6    3    4    2    2    0.000000    0.000000
    6    3    5    1    1   -0.000000    0.000000
    6    3    5    2    1    0.000000   -0.000000
    6    3    5    1    2    0.000000    0.000000
    6    3    5    2    2   -0.000000    0.000000
    6    4   -3    1    1    0.000000    0.000000
    6    4   -3    2    1   -0.000000    0.000000
    6    4   -3    1    2   -0.000000   -0.000000
    6    4   -3    2    2   -0.000000    0.000000
    6    4   -2    1    1    0.000000   -0.000000
    6    4   -2    2    1   -0.000000    0.000000
    6    4   -2    1    2   -0.000000   -0.000000
    6    4   -2    2    2    0.000000   -0.000000
    6    4   -1    1    1    0.000000    0.000000
    6    4   -1    2    1   -0.000000    0.000000
    6    4   -1    1    2   -0.000000   -0.000000
    6    4   -1    2    2    0.000000    0.000000
    6    4    0    1    1   -0.000003   -0.000000
    6    4    0    2    1    0.000001   -0.000000
    6    4    0    1    2    0.000001    0.000000
    6    4    0    2    2   -0.000002    0.000000
    6    4    1    1    1   -0.000000   -0.000000
    6    4    1    2    1    0.000002   -0.000000
    6    4    1    1    2    0.000000    0.000000
    6    4    1    2    2   -0.000000   -0.000000
    6    4    2    1    1   -0.000000    0.000000
    6    4    2    2    1    0.000000   -0.000000
    6    4    2    1    2    0.000000    0.000000
    6    4    2    2    2    0.000000    0.000000
    6    4    3    1    1    0.000000   -0.000000
    6    4    3    2    1    0.000000   -0.000000
    6    4    3    1    2    0.000000    0.000000
    6    4    3    2    2    0.000000   -0.000000
    6    4    4    1    1   -0.000000   -0.000000
    6    4    4    2    1   -0.000000    0.000000
    6    4    4    1    2   -0.000000   -0.000000
    6    4    4    2    2   -0.000000   -0.000000
    6    4    5    1    1   -0.000000   -0.000000
    6    4    5    2    1    0.000000   -0.000000
    6    4    5    1    2    0.000000    0.000000
    6    4    5    2    2   -0.000000   -0.000000
    6    5   -4    1    1   -0.000000    0.000000
    6    5   -4    2    1    0.000000   -0.000000
    6    5   -4    1    2    0.000000    0.000000
    6    5   -4    2    2   -0.000000   -0.000000
    6    5   -3    1    1    0.000000   -0.000000
    6    5   -3    2    1   -0.000000    0.000000
    6    5   -3    1    2   -0.000000   -0.000000
    6    5   -3    2    2   -0.000000   -0.000000
    6    5   -2    1    1    0.000000    0.000000
    6    5   -2    2    1    0.000000   -0.000000
    6    5   -2    1    2   -0.000000   -0.000000
    6    5   -2    2    2    0.000000   -0.000000
    6    5   -1    1    1   -0.000000    0.000000
    6    5   -1    2    1    0.000001   -0.000000
    6    5   -1    1    2    0.000000    0.000000
    6    5   -1    2    2   -0.000000    0.000000
    6    5    0    1    1    0.000001    0.000000
    6    5    0    2    1   -0.000001    0.000000
    6    5    0    1    2    0.000000    0.000000
    6    5    0    2    2    0.000001    0.000000
    6    5    1    1    1   -0.000000   -0.000000
    6    5    1    2    1   -0.000000    0.000000
    6    5    1    1    2   -0.000000   -0.000000
    6    5    1    2    2   -0.000000   -0.000000
    6    5    2    1    1    0.000000   -0.000000
    6    5    2    2    1   -0.000000    0.000000
    6    5    2    1    2    0.000000    0.000000
    6    5    2    2    2    0.000000    0.000000
    6    5    3    1    1    0.000000   -0.000000
    6    5    3    2    1    0.000000   -0.000000
    6    5    3    1    2   -0.000000   -0.000000
    6    5    3    2    2    0.000000    0.000000
    6    5    4    1    1    0.000000   -0.000000
    6    5    4    2    1   -0.000001    0.000000
    6    5    4    1    2   -0.000000   -0.000000
    6    5    4    2    2    0.000000   -0.000000
    6    5    5    1    1   -0.000000   -0.000000
    6    5    5    2    1    0.000000   -0.000000
    6    5    5    1    2    0.000000    0.000000
    6    5    5    2    2    0.000000    0.000000
    7   -2    5    1    1    0.000000   -0.000000
    7   -2    5    2    1    0.000000   -0.000000
    7   -2    5    1    2   -0.000000   -0.000000
    7   -2    5    2    2    0.000000   -0.000000
    7   -1    4    1    1   -0.000000    0.000000
    7   -1    4    2    1   -0.000000    0.000000
    7   -1    4    1    2   -0.000000   -0.000000
    7   -1    4    2    2   -0.000000    0.000000
    7   -1    5    1    1   -0.000000   -0.000000
    7   -1    5    2    1   -0.000000    0.000000
